study,colony,apiary,outcome
LSCFS_2013_1,A1,A,Survived
LSCFS_2013_1,A2,A,Survived
LSCFS_2013_1,B2,B,Lost
LSCFS_2013_1,B8,B,Survived
LSCFS_2013_1,D4,D,Lost
LSCFS_2013_1,D6,D,Lost
LSCFS_2013_1,E1,E,Survived
LSCFS_2013_1,E8,E,Survived
LSCFS_2013_1,F4,F,Lost
LSCFS_2013_1,F7,F,Survived
LSCFS_2013_1,G5,G,Lost
LSCFS_2013_1,G6,G,Survived
LSCFS_2013_1,H3,H,Survived
LSCFS_2013_1,H5,H,Lost
LSCFS_2013_1,I5,I,Survived
LSCFS_2013_1,I8,I,Survived
LSCFS_2013_1,J1,J,Survived
LSCFS_2013_1,J7,J,Survived
LSCFS_2013_1,K3,K,Lost
LSCFS_2013_1,K4,K,Lost
LSCFS_2013_1,L5,L,Survived
LSCFS_2013_1,L7,L,Survived
LSCFS_2014_1,A3,A,Lost
LSCFS_2014_1,A5,A,Lost
LSCFS_2014_1,B2,B,Lost
LSCFS_2014_1,B3,B,Lost
LSCFS_2014_1,C1,C,Survived
LSCFS_2014_1,C3,C,Lost
LSCFS_2014_1,D4,D,Lost
LSCFS_2014_1,D8,D,Survived
LSCFS_2014_1,E1,E,Lost
LSCFS_2014_1,E4,E,Survived
LSCFS_2014_1,F2,F,Lost
LSCFS_2014_1,F5,F,Lost
LSCFS_2014_1,G2,G,Lost
LSCFS_2014_1,G8,G,Survived
LSCFS_2014_1,H1,H,Lost
LSCFS_2014_1,H6,H,Survived
LSCFS_2014_1,I6,I,Survived
LSCFS_2014_1,I7,I,Lost
LSCFS_2014_1,J7,J,Lost
LSCFS_2014_1,J8,J,Survived
LSCFS_2014_1,K5,K,Survived
LSCFS_2014_1,K7,K,Lost
LSCFS_2014_1,L4,L,Lost
LSCFS_2014_1,L6,L,Lost
LSCFS_2014_2,A1,A,Survived
LSCFS_2014_2,A4,A,Lost
LSCFS_2014_2,B4,B,Lost
LSCFS_2014_2,B7,B,Lost
LSCFS_2014_2,C2,C,Lost
LSCFS_2014_2,C7,C,Lost
LSCFS_2014_2,D1,D,Lost
LSCFS_2014_2,D7,D,Lost
LSCFS_2014_2,E1,E,Survived
LSCFS_2014_2,E7,E,Lost
LSCFS_2014_2,F2,F,Lost
LSCFS_2014_2,F4,F,Survived
LSCFS_2014_2,G1,G,Lost
LSCFS_2014_2,G8,G,Survived
LSCFS_2014_2,H1,H,Lost
LSCFS_2014_2,H6,H,Lost
LSCFS_2014_2,I6,I,Lost
LSCFS_2014_2,I8,I,Lost
LSCFS_2014_2,J6,J,Lost
LSCFS_2014_2,J7,J,Lost
LSCFS_2014_2,K2,K,Lost
LSCFS_2014_2,K8,K,Lost
LSCFS_2014_2,L1,L,Lost
LSCFS_2014_2,L5,L,Survived
LSCFS_2015_1,A1,A,Survived
LSCFS_2015_1,A4,A,Survived
LSCFS_2015_1,B4,B,Survived
LSCFS_2015_1,B7,B,Survived
LSCFS_2015_1,C2,C,Lost
LSCFS_2015_1,C7,C,Lost
LSCFS_2015_1,D1,D,Survived
LSCFS_2015_1,D7,D,Survived
LSCFS_2015_1,E1,E,Survived
LSCFS_2015_1,E7,E,Survived
LSCFS_2015_1,F2,F,Survived
LSCFS_2015_1,F4,F,Survived
LSCFS_2015_1,G1,G,Survived
LSCFS_2015_1,G8,G,Survived
LSCFS_2015_1,H1,H,Survived
LSCFS_2015_1,H6,H,Survived
LSCFS_2015_1,I6,I,Survived
LSCFS_2015_1,I8,I,Survived
LSCFS_2015_1,J6,J,Survived
LSCFS_2015_1,J7,J,Lost
LSCFS_2015_1,K2,K,Survived
LSCFS_2015_1,K8,K,Survived
LSCFS_2015_1,L1,L,Survived
LSCFS_2015_1,L5,L,Survived
LSCFS_2015_2,A2,A,Survived
LSCFS_2015_2,A8,A,Survived
LSCFS_2015_2,C2,C,Survived
LSCFS_2015_2,C6,C,Survived
LSCFS_2015_2,D3,D,Lost
LSCFS_2015_2,D4,D,Lost
LSCFS_2015_2,E6,E,Lost
LSCFS_2015_2,E7,E,Survived
LSCFS_2015_2,F5,F,Lost
LSCFS_2015_2,F8,F,Survived
LSCFS_2015_2,G4,G,Survived
LSCFS_2015_2,G7,G,Survived
LSCFS_2015_2,H1,H,Lost
LSCFS_2015_2,H8,H,Lost
LSCFS_2015_2,I4,I,Lost
LSCFS_2015_2,I6,I,Survived
LSCFS_2015_2,J3,J,Survived
LSCFS_2015_2,J5,J,Lost
LSCFS_2015_2,K1,K,Lost
LSCFS_2015_2,K5,K,Lost
LSCFS_2015_2,L1,L,Survived
LSCFS_2015_2,L2,L,Lost
LSCFS_2016_1,A3,A,Survived
LSCFS_2016_1,A8,A,Lost
LSCFS_2016_1,B3,B,Survived
LSCFS_2016_1,B4,B,Survived
LSCFS_2016_1,C2,C,Survived
LSCFS_2016_1,C6,C,Survived
LSCFS_2016_1,D2,D,Survived
LSCFS_2016_1,D3,D,Survived
LSCFS_2016_1,E4,E,Survived
LSCFS_2016_1,E6,E,Survived
LSCFS_2016_1,F4,F,Survived
LSCFS_2016_1,F7,F,Survived
LSCFS_2016_1,G6,G,Survived
LSCFS_2016_1,G7,G,Lost
LSCFS_2016_1,H1,H,Survived
LSCFS_2016_1,H2,H,Survived
LSCFS_2016_1,I5,I,Survived
LSCFS_2016_1,I7,I,Survived
LSCFS_2016_1,J5,J,Survived
LSCFS_2016_1,J8,J,Survived
LSCFS_2016_1,K1,K,Lost
LSCFS_2016_1,K8,K,Survived
LSCFS_2016_1,L1,L,Lost
LSCFS_2016_1,L5,L,Lost
LSCFS_2016_2,A3,A,Survived
LSCFS_2016_2,A7,A,Survived
LSCFS_2016_2,B1,B,Survived
LSCFS_2016_2,B7,B,Survived
LSCFS_2016_2,C4,C,Survived
LSCFS_2016_2,C8,C,Survived
LSCFS_2016_2,D1,D,Survived
LSCFS_2016_2,D5,D,Survived
LSCFS_2016_2,E3,E,Survived
LSCFS_2016_2,E8,E,Lost
LSCFS_2016_2,F2,F,Survived
LSCFS_2016_2,F6,F,Survived
LSCFS_2016_2,G4,G,Survived
LSCFS_2016_2,G5,G,Survived
LSCFS_2016_2,H2,H,Survived
LSCFS_2016_2,H7,H,Survived
LSCFS_2016_2,I1,I,Survived
LSCFS_2016_2,I5,I,Survived
LSCFS_2016_2,J2,J,Survived
LSCFS_2016_2,J6,J,Lost
LSCFS_2016_2,K3,K,Survived
LSCFS_2016_2,K8,K,Survived
LSCFS_2016_2,L4,L,Survived
LSCFS_2016_2,L6,L,Survived
