Combi.scen,ID_initial,ID_feeding,init.adults,init.pupae,init.brood,init.honey,init.pollen,treat.date,treat.honey,suppl.date,suppl.honey
1,57,1,6139,16512,13416,3.6,1461,185,0.82,235,1.18
2,58,1,13348,16512,13416,3.6,1461,185,0.82,235,1.18
3,77,1,6139,16512,13416,13.7,1461,185,0.82,235,1.18
4,78,1,13348,16512,13416,13.7,1461,185,0.82,235,1.18
5,79,1,24361,16512,13416,13.7,1461,185,0.82,235,1.18
6,97,1,6139,16512,13416,36.3,1461,185,0.82,235,1.18
7,98,1,13348,16512,13416,36.3,1461,185,0.82,235,1.18
8,99,1,24361,16512,13416,36.3,1461,185,0.82,235,1.18
9,57,2,6139,16512,13416,3.6,1461,185,1.64,235,1.18
10,58,2,13348,16512,13416,3.6,1461,185,1.64,235,1.18
11,77,2,6139,16512,13416,13.7,1461,185,1.64,235,1.18
12,78,2,13348,16512,13416,13.7,1461,185,1.64,235,1.18
13,79,2,24361,16512,13416,13.7,1461,185,1.64,235,1.18
14,97,2,6139,16512,13416,36.3,1461,185,1.64,235,1.18
15,98,2,13348,16512,13416,36.3,1461,185,1.64,235,1.18
16,99,2,24361,16512,13416,36.3,1461,185,1.64,235,1.18
17,57,3,6139,16512,13416,3.6,1461,185,0.82,266,2.35
18,58,3,13348,16512,13416,3.6,1461,185,0.82,266,2.35
19,77,3,6139,16512,13416,13.7,1461,185,0.82,266,2.35
20,78,3,13348,16512,13416,13.7,1461,185,0.82,266,2.35
21,79,3,24361,16512,13416,13.7,1461,185,0.82,266,2.35
22,97,3,6139,16512,13416,36.3,1461,185,0.82,266,2.35
23,98,3,13348,16512,13416,36.3,1461,185,0.82,266,2.35
24,99,3,24361,16512,13416,36.3,1461,185,0.82,266,2.35
25,57,4,6139,16512,13416,3.6,1461,185,1.64,266,2.35
26,58,4,13348,16512,13416,3.6,1461,185,1.64,266,2.35
27,77,4,6139,16512,13416,13.7,1461,185,1.64,266,2.35
28,78,4,13348,16512,13416,13.7,1461,185,1.64,266,2.35
29,79,4,24361,16512,13416,13.7,1461,185,1.64,266,2.35
30,97,4,6139,16512,13416,36.3,1461,185,1.64,266,2.35
31,98,4,13348,16512,13416,36.3,1461,185,1.64,266,2.35
32,99,4,24361,16512,13416,36.3,1461,185,1.64,266,2.35
33,57,5,6139,16512,13416,3.6,1461,185,0.82,235,2.35
34,58,5,13348,16512,13416,3.6,1461,185,0.82,235,2.35
35,77,5,6139,16512,13416,13.7,1461,185,0.82,235,2.35
36,78,5,13348,16512,13416,13.7,1461,185,0.82,235,2.35
37,79,5,24361,16512,13416,13.7,1461,185,0.82,235,2.35
38,97,5,6139,16512,13416,36.3,1461,185,0.82,235,2.35
39,98,5,13348,16512,13416,36.3,1461,185,0.82,235,2.35
40,99,5,24361,16512,13416,36.3,1461,185,0.82,235,2.35
41,57,6,6139,16512,13416,3.6,1461,185,1.64,235,2.35
42,58,6,13348,16512,13416,3.6,1461,185,1.64,235,2.35
43,77,6,6139,16512,13416,13.7,1461,185,1.64,235,2.35
44,78,6,13348,16512,13416,13.7,1461,185,1.64,235,2.35
45,79,6,24361,16512,13416,13.7,1461,185,1.64,235,2.35
46,97,6,6139,16512,13416,36.3,1461,185,1.64,235,2.35
47,98,6,13348,16512,13416,36.3,1461,185,1.64,235,2.35
48,99,6,24361,16512,13416,36.3,1461,185,1.64,235,2.35
49,57,7,6139,16512,13416,3.6,1461,185,0.82,266,4.7
50,58,7,13348,16512,13416,3.6,1461,185,0.82,266,4.7
51,77,7,6139,16512,13416,13.7,1461,185,0.82,266,4.7
52,78,7,13348,16512,13416,13.7,1461,185,0.82,266,4.7
53,79,7,24361,16512,13416,13.7,1461,185,0.82,266,4.7
54,97,7,6139,16512,13416,36.3,1461,185,0.82,266,4.7
55,98,7,13348,16512,13416,36.3,1461,185,0.82,266,4.7
56,99,7,24361,16512,13416,36.3,1461,185,0.82,266,4.7
57,57,8,6139,16512,13416,3.6,1461,185,1.64,266,4.7
58,58,8,13348,16512,13416,3.6,1461,185,1.64,266,4.7
59,77,8,6139,16512,13416,13.7,1461,185,1.64,266,4.7
60,78,8,13348,16512,13416,13.7,1461,185,1.64,266,4.7
61,79,8,24361,16512,13416,13.7,1461,185,1.64,266,4.7
62,97,8,6139,16512,13416,36.3,1461,185,1.64,266,4.7
63,98,8,13348,16512,13416,36.3,1461,185,1.64,266,4.7
64,99,8,24361,16512,13416,36.3,1461,185,1.64,266,4.7
65,57,9,6139,16512,13416,3.6,1461,185,0.82,235,3.53
66,58,9,13348,16512,13416,3.6,1461,185,0.82,235,3.53
67,77,9,6139,16512,13416,13.7,1461,185,0.82,235,3.53
68,78,9,13348,16512,13416,13.7,1461,185,0.82,235,3.53
69,79,9,24361,16512,13416,13.7,1461,185,0.82,235,3.53
70,97,9,6139,16512,13416,36.3,1461,185,0.82,235,3.53
71,98,9,13348,16512,13416,36.3,1461,185,0.82,235,3.53
72,99,9,24361,16512,13416,36.3,1461,185,0.82,235,3.53
73,57,10,6139,16512,13416,3.6,1461,185,1.64,235,3.53
74,58,10,13348,16512,13416,3.6,1461,185,1.64,235,3.53
75,77,10,6139,16512,13416,13.7,1461,185,1.64,235,3.53
76,78,10,13348,16512,13416,13.7,1461,185,1.64,235,3.53
77,79,10,24361,16512,13416,13.7,1461,185,1.64,235,3.53
78,97,10,6139,16512,13416,36.3,1461,185,1.64,235,3.53
79,98,10,13348,16512,13416,36.3,1461,185,1.64,235,3.53
80,99,10,24361,16512,13416,36.3,1461,185,1.64,235,3.53
81,57,11,6139,16512,13416,3.6,1461,185,0.82,266,7.05
82,58,11,13348,16512,13416,3.6,1461,185,0.82,266,7.05
83,77,11,6139,16512,13416,13.7,1461,185,0.82,266,7.05
84,78,11,13348,16512,13416,13.7,1461,185,0.82,266,7.05
85,79,11,24361,16512,13416,13.7,1461,185,0.82,266,7.05
86,97,11,6139,16512,13416,36.3,1461,185,0.82,266,7.05
87,98,11,13348,16512,13416,36.3,1461,185,0.82,266,7.05
88,99,11,24361,16512,13416,36.3,1461,185,0.82,266,7.05
89,57,12,6139,16512,13416,3.6,1461,185,1.64,266,7.05
90,58,12,13348,16512,13416,3.6,1461,185,1.64,266,7.05
91,77,12,6139,16512,13416,13.7,1461,185,1.64,266,7.05
92,78,12,13348,16512,13416,13.7,1461,185,1.64,266,7.05
93,79,12,24361,16512,13416,13.7,1461,185,1.64,266,7.05
94,97,12,6139,16512,13416,36.3,1461,185,1.64,266,7.05
95,98,12,13348,16512,13416,36.3,1461,185,1.64,266,7.05
96,99,12,24361,16512,13416,36.3,1461,185,1.64,266,7.05
97,57,13,6139,16512,13416,3.6,1461,185,0.82,235,4.7
98,58,13,13348,16512,13416,3.6,1461,185,0.82,235,4.7
99,77,13,6139,16512,13416,13.7,1461,185,0.82,235,4.7
100,78,13,13348,16512,13416,13.7,1461,185,0.82,235,4.7
101,79,13,24361,16512,13416,13.7,1461,185,0.82,235,4.7
102,97,13,6139,16512,13416,36.3,1461,185,0.82,235,4.7
103,98,13,13348,16512,13416,36.3,1461,185,0.82,235,4.7
104,99,13,24361,16512,13416,36.3,1461,185,0.82,235,4.7
105,57,14,6139,16512,13416,3.6,1461,185,1.64,235,4.7
106,58,14,13348,16512,13416,3.6,1461,185,1.64,235,4.7
107,77,14,6139,16512,13416,13.7,1461,185,1.64,235,4.7
108,78,14,13348,16512,13416,13.7,1461,185,1.64,235,4.7
109,79,14,24361,16512,13416,13.7,1461,185,1.64,235,4.7
110,97,14,6139,16512,13416,36.3,1461,185,1.64,235,4.7
111,98,14,13348,16512,13416,36.3,1461,185,1.64,235,4.7
112,99,14,24361,16512,13416,36.3,1461,185,1.64,235,4.7
113,57,15,6139,16512,13416,3.6,1461,185,0.82,266,9.4
114,58,15,13348,16512,13416,3.6,1461,185,0.82,266,9.4
115,77,15,6139,16512,13416,13.7,1461,185,0.82,266,9.4
116,78,15,13348,16512,13416,13.7,1461,185,0.82,266,9.4
117,79,15,24361,16512,13416,13.7,1461,185,0.82,266,9.4
118,97,15,6139,16512,13416,36.3,1461,185,0.82,266,9.4
119,98,15,13348,16512,13416,36.3,1461,185,0.82,266,9.4
120,99,15,24361,16512,13416,36.3,1461,185,0.82,266,9.4
121,57,16,6139,16512,13416,3.6,1461,185,1.64,266,9.4
122,58,16,13348,16512,13416,3.6,1461,185,1.64,266,9.4
123,77,16,6139,16512,13416,13.7,1461,185,1.64,266,9.4
124,78,16,13348,16512,13416,13.7,1461,185,1.64,266,9.4
125,79,16,24361,16512,13416,13.7,1461,185,1.64,266,9.4
126,97,16,6139,16512,13416,36.3,1461,185,1.64,266,9.4
127,98,16,13348,16512,13416,36.3,1461,185,1.64,266,9.4
128,99,16,24361,16512,13416,36.3,1461,185,1.64,266,9.4
